grid search results

Top 103 | Acc: 0.8565 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 104 | Acc: 0.8562 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.0}
Top 105 | Acc: 0.8552 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.2}
Top 106 | Acc: 0.8551 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 107 | Acc: 0.8550 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 108 | Acc: 0.8550 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.0}
Top 109 | Acc: 0.8531 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 110 | Acc: 0.8522 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 111 | Acc: 0.8508 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 112 | Acc: 0.8502 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 113 | Acc: 0.8493 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 114 | Acc: 0.8488 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.2}
Top 115 | Acc: 0.8482 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.2}
Top 116 | Acc: 0.8482 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 117 | Acc: 0.8472 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.2}
Top 118 | Acc: 0.8449 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 119 | Acc: 0.8448 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 120 | Acc: 0.8430 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 121 | Acc: 0.8429 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.0}
Top 122 | Acc: 0.8419 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 123 | Acc: 0.8417 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 124 | Acc: 0.8412 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 125 | Acc: 0.8350 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.2}
Top 126 | Acc: 0.8300 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 127 | Acc: 0.8299 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 128 | Acc: 0.8297 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 129 | Acc: 0.8286 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 130 | Acc: 0.8280 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 131 | Acc: 0.8234 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 132 | Acc: 0.8233 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 133 | Acc: 0.8224 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 134 | Acc: 0.8222 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 135 | Acc: 0.8201 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 136 | Acc: 0.8201 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 137 | Acc: 0.8135 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.2}
Top 138 | Acc: 0.8127 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 139 | Acc: 0.8042 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.2}
